"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0031640","killing of cells of another organism","1/9","45/12737",0.0313611637769926,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0032387","negative regulation of intracellular transport","1/9","45/12737",0.0313611637769926,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0141061","disruption of cell in another organism","1/9","45/12737",0.0313611637769926,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0072678","T cell migration","1/9","46/12737",0.0320480334213359,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:2000401","regulation of lymphocyte migration","1/9","47/12737",0.0327344700850509,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0141060","disruption of anatomical structure in another organism","1/9","49/12737",0.0341060454258386,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0002534","cytokine production involved in inflammatory response","1/9","50/12737",0.0347911845802494,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042306","regulation of protein import into nucleus","1/9","50/12737",0.0347911845802494,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1900015","regulation of cytokine production involved in inflammatory response","1/9","50/12737",0.0347911845802494,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006220","pyrimidine nucleotide metabolic process","1/9","51/12737",0.0354758917087098,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","1/9","51/12737",0.0354758917087098,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0010812","negative regulation of cell-substrate adhesion","1/9","51/12737",0.0354758917087098,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0048678","response to axon injury","1/9","52/12737",0.0361601670496072,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","1/9","52/12737",0.0361601670496072,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0048514","blood vessel morphogenesis","2/9","440/12737",0.0364941153017274,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006809","nitric oxide biosynthetic process","1/9","53/12737",0.0368440108412154,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0070301","cellular response to hydrogen peroxide","1/9","53/12737",0.0368440108412154,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0030199","collagen fibril organization","1/9","56/12737",0.0388929553013644,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0033627","cell adhesion mediated by integrin","1/9","56/12737",0.0388929553013644,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0032602","chemokine production","1/9","58/12737",0.0402567648916502,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0032642","regulation of chemokine production","1/9","58/12737",0.0402567648916502,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0051893","regulation of focal adhesion assembly","1/9","58/12737",0.0402567648916502,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0090109","regulation of cell-substrate junction assembly","1/9","58/12737",0.0402567648916502,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0097194","execution phase of apoptosis","1/9","58/12737",0.0402567648916502,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0032787","monocarboxylic acid metabolic process","2/9","467/12737",0.0407089149248314,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046425","regulation of receptor signaling pathway via JAK-STAT","1/9","59/12737",0.040938024384983,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0001568","blood vessel development","2/9","470/12737",0.0411886434552507,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0046209","nitric oxide metabolic process","1/9","61/12737",0.0422992539554641,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:2001057","reactive nitrogen species metabolic process","1/9","63/12737",0.0436587658862954,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0001523","retinoid metabolic process","1/9","64/12737",0.0443378783296454,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019730","antimicrobial humoral response","1/9","64/12737",0.0443378783296454,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0072527","pyrimidine-containing compound metabolic process","1/9","64/12737",0.0443378783296454,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0001944","vasculature development","2/9","490/12737",0.0444438638145751,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:1904892","regulation of receptor signaling pathway via STAT","1/9","65/12737",0.0450165620742232,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0150116","regulation of cell-substrate junction organization","1/9","66/12737",0.045694817356841,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0002532","production of molecular mediator involved in inflammatory response","1/9","67/12737",0.0463726444141992,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0016101","diterpenoid metabolic process","1/9","68/12737",0.0470500434828869,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042157","lipoprotein metabolic process","1/9","68/12737",0.0470500434828869,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0071806","protein transmembrane transport","1/9","68/12737",0.0470500434828869,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0072676","lymphocyte migration","1/9","68/12737",0.0470500434828869,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0006081","aldehyde metabolic process","1/9","69/12737",0.0477270147993804,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0042542","response to hydrogen peroxide","1/9","71/12737",0.04907967512113,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0060041","retina development in camera-type eye","1/9","71/12737",0.04907967512113,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019646","aerobic electron transport chain","1/9","72/12737",0.0497553645987795,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0048041","focal adhesion assembly","1/9","73/12737",0.0504306272690213,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0019217","regulation of fatty acid metabolic process","1/9","75/12737",0.0517798731308369,1,1,"MARV vs Mock 1 dpi DOWN"
"GO:0045833","negative regulation of lipid metabolic process","1/9","75/12737",0.0517798731308369,1,1,"MARV vs Mock 1 dpi DOWN"
