"gene_symbol","log2FoldChange","padj","direction","contrast"
"FOS",1.80486953562085,0.00463175128466716,"UP","MARV vs Mock 1 dpi"
"GPA33",1.97219501249605,0.00479681499526434,"UP","MARV vs Mock 1 dpi"
"ITGAV",0.553555983163883,0.00479681499526434,"NS","MARV vs Mock 1 dpi"
"POLR3K",-0.790206026832813,0.00479681499526434,"NS","MARV vs Mock 1 dpi"
"MYO1D",0.67506282272616,0.00479681499526434,"NS","MARV vs Mock 1 dpi"
"NPM1P27",-0.77721443167698,0.00486713819790923,"NS","MARV vs Mock 1 dpi"
"TCF7",-0.498846824948541,0.0049612468941666,"NS","MARV vs Mock 1 dpi"
"RCOR2",1.2438418451368,0.0049612468941666,"UP","MARV vs Mock 1 dpi"
"NUDT1",-0.624513072634958,0.00499611191982229,"NS","MARV vs Mock 1 dpi"
"MCAT",-0.689102348277061,0.00502545780495836,"NS","MARV vs Mock 1 dpi"
"TNKS",0.546264369711704,0.00503079901080205,"NS","MARV vs Mock 1 dpi"
"ZNHIT2",-0.828045531433803,0.00512405685321652,"NS","MARV vs Mock 1 dpi"
"LINC02210",0.731972047908083,0.00512405685321652,"NS","MARV vs Mock 1 dpi"
"DSC3",0.933966863871425,0.00517006030199979,"NS","MARV vs Mock 1 dpi"
"TOP3A",0.813761325860991,0.00539963464741298,"NS","MARV vs Mock 1 dpi"
"KDM7A",0.900630682230411,0.00551013366282648,"NS","MARV vs Mock 1 dpi"
"PRSS53",1.5318697195128,0.00551013366282648,"UP","MARV vs Mock 1 dpi"
"APOBEC3C",1.32506632651502,0.00551013366282648,"UP","MARV vs Mock 1 dpi"
"SDF2L1",-0.809711605172972,0.00553826926475964,"NS","MARV vs Mock 1 dpi"
"ABCF2.1",-0.734882366444619,0.00555151985084351,"NS","MARV vs Mock 1 dpi"
"MORF4L1P1",-0.763634631666123,0.00556594264626315,"NS","MARV vs Mock 1 dpi"
"DMXL1",0.575972314363225,0.0056069067547862,"NS","MARV vs Mock 1 dpi"
"AZI2",0.443389901901959,0.00564882727790919,"NS","MARV vs Mock 1 dpi"
"DANCR",-0.919600843981682,0.00572931518781374,"NS","MARV vs Mock 1 dpi"
"AVEN",-0.646470829374818,0.00572931518781374,"NS","MARV vs Mock 1 dpi"
"ALYREF",-0.722716018618272,0.00572931518781374,"NS","MARV vs Mock 1 dpi"
"CTTNBP2NL",0.465521675923822,0.00582640052723164,"NS","MARV vs Mock 1 dpi"
"SPAG4",1.92555488298139,0.00582640052723164,"UP","MARV vs Mock 1 dpi"
"KDM3A",1.23255317922049,0.00584179788142878,"UP","MARV vs Mock 1 dpi"
"VIM",1.84710822580581,0.00584179788142878,"UP","MARV vs Mock 1 dpi"
"NME1",-1.0848273631887,0.00584179788142878,"DOWN","MARV vs Mock 1 dpi"
"SSH2",0.691385392384408,0.00590183475918531,"NS","MARV vs Mock 1 dpi"
"ATP11B",0.915923694619476,0.00601940917776457,"NS","MARV vs Mock 1 dpi"
"NEDD9",1.00210532481734,0.00605351430203657,"UP","MARV vs Mock 1 dpi"
"CLMN",1.34654296845679,0.006519137001223,"UP","MARV vs Mock 1 dpi"
"NIT2",-0.475754663444298,0.0069188007381692,"NS","MARV vs Mock 1 dpi"
"RANBP1",-0.717338807269918,0.00693883620567673,"NS","MARV vs Mock 1 dpi"
"EFEMP2",1.43671241045404,0.00703138103346593,"UP","MARV vs Mock 1 dpi"
"MAML2",0.686624053162094,0.00719054183486115,"NS","MARV vs Mock 1 dpi"
"CCDC183",1.27904521088856,0.00719123991112915,"UP","MARV vs Mock 1 dpi"
"DCXR",-0.822642715557531,0.00719123991112915,"NS","MARV vs Mock 1 dpi"
"GON7",-0.685068633083322,0.00732169171368327,"NS","MARV vs Mock 1 dpi"
"EBNA1BP2",-0.540469049383614,0.00741239750194144,"NS","MARV vs Mock 1 dpi"
"ATG9A",0.85260179832923,0.00762769663132234,"NS","MARV vs Mock 1 dpi"
"AKIP1",-0.65387007536444,0.00777931891468451,"NS","MARV vs Mock 1 dpi"
"FKBP15",0.450079463600566,0.0079035712755355,"NS","MARV vs Mock 1 dpi"
"WDFY3",0.635274486376513,0.00841321140403772,"NS","MARV vs Mock 1 dpi"
"SERTAD2",0.744591361885855,0.00856549566039344,"NS","MARV vs Mock 1 dpi"
"ZER1",0.626509533323621,0.00856549566039344,"NS","MARV vs Mock 1 dpi"
"CRELD2",-0.62152195294657,0.00860956609580314,"NS","MARV vs Mock 1 dpi"
"TMEM138",-0.568130991729993,0.0086427577590307,"NS","MARV vs Mock 1 dpi"
"AGAP1",0.471984364819454,0.00866559356453406,"NS","MARV vs Mock 1 dpi"
"AFF4",0.709181752922858,0.00866559356453406,"NS","MARV vs Mock 1 dpi"
"MPC1",-0.747078267419954,0.00866559356453406,"NS","MARV vs Mock 1 dpi"
"MRPL41",-1.13855652754157,0.00866559356453406,"DOWN","MARV vs Mock 1 dpi"
"DEPDC7",0.701041176946372,0.00866559356453406,"NS","MARV vs Mock 1 dpi"
"C17orf78",2.08458233742671,0.00866559356453406,"UP","MARV vs Mock 1 dpi"
"RNASEH1",-0.55575432576882,0.0087611023909446,"NS","MARV vs Mock 1 dpi"
"SECISBP2L",0.569729426991157,0.0087611023909446,"NS","MARV vs Mock 1 dpi"
"THEM4",-0.9168289767647,0.00879749366151343,"NS","MARV vs Mock 1 dpi"
"DUOXA2",3.18088492236993,0.00879749366151343,"UP","MARV vs Mock 1 dpi"
"MEF2D",0.685375915851804,0.00894939364693286,"NS","MARV vs Mock 1 dpi"
"PDSS1",-0.613824848678478,0.00912841086076405,"NS","MARV vs Mock 1 dpi"
"PFKFB4",1.63924535833084,0.00941757495221824,"UP","MARV vs Mock 1 dpi"
"POLR2L",-0.869790823284167,0.00950775048172936,"NS","MARV vs Mock 1 dpi"
"PFKFB3",1.62515904244326,0.00951283613856817,"UP","MARV vs Mock 1 dpi"
"CLASP1",0.488674274782457,0.00961544133701084,"NS","MARV vs Mock 1 dpi"
"PAK1IP1",-0.549611224121655,0.00973984873299484,"NS","MARV vs Mock 1 dpi"
"ACOT7",-0.651092923328921,0.00981989286824759,"NS","MARV vs Mock 1 dpi"
"AC004967.1",-0.817780774421692,0.00986746604074848,"NS","MARV vs Mock 1 dpi"
"OPTN",1.47858549218973,0.00991535356582391,"UP","MARV vs Mock 1 dpi"
"COPRS",-0.761924901578598,0.00991535356582391,"NS","MARV vs Mock 1 dpi"
"APOBEC3F",0.973024988828152,0.00991535356582391,"NS","MARV vs Mock 1 dpi"
"CMIP",0.45674877069028,0.0100489570154663,"NS","MARV vs Mock 1 dpi"
"SNHG3",-0.70232018427409,0.0100843036970053,"NS","MARV vs Mock 1 dpi"
"PRRT2",1.28985541690936,0.0103353242925189,"UP","MARV vs Mock 1 dpi"
"DDX39A",-0.463055861919429,0.0105639569737238,"NS","MARV vs Mock 1 dpi"
"DIMT1",-0.419145999336971,0.0106857219297132,"NS","MARV vs Mock 1 dpi"
"SLC25A36",0.718176682820186,0.0107386155552392,"NS","MARV vs Mock 1 dpi"
"HEATR5B",0.591839297047745,0.0108340582775324,"NS","MARV vs Mock 1 dpi"
"MRPL20",-0.636625673199242,0.0109301544076623,"NS","MARV vs Mock 1 dpi"
"COQ2",-0.654307788154356,0.0109301544076623,"NS","MARV vs Mock 1 dpi"
"PNCK",2.69992345332064,0.0109301544076623,"UP","MARV vs Mock 1 dpi"
"ABCA2",0.846307501034565,0.0109301544076623,"NS","MARV vs Mock 1 dpi"
"BRMS1",-0.54960108319146,0.0109301544076623,"NS","MARV vs Mock 1 dpi"
"DDX51",-0.577779327451268,0.0109301544076623,"NS","MARV vs Mock 1 dpi"
"ALDH1A2",2.82121161900154,0.0109301544076623,"UP","MARV vs Mock 1 dpi"
"CEACAM19",0.752642581737214,0.0110555419989157,"NS","MARV vs Mock 1 dpi"
"DUOX2",2.78925441849774,0.0111285975151504,"UP","MARV vs Mock 1 dpi"
"MRPS23",-0.559579862166177,0.0113490726199893,"NS","MARV vs Mock 1 dpi"
"LDHAP4",1.10694933818439,0.0115101941100153,"UP","MARV vs Mock 1 dpi"
"AHDC1",0.750610507737034,0.0116648421216757,"NS","MARV vs Mock 1 dpi"
"USP37",0.596068805649939,0.0116648421216757,"NS","MARV vs Mock 1 dpi"
"ANKZF1",1.14678936865474,0.0116648421216757,"UP","MARV vs Mock 1 dpi"
"NDUFB2",-0.712313802750518,0.0116648421216757,"NS","MARV vs Mock 1 dpi"
"FBXL6",-0.514446876464452,0.0116648421216757,"NS","MARV vs Mock 1 dpi"
"SRSF2",-0.481369084871383,0.0118079523411911,"NS","MARV vs Mock 1 dpi"
"PSME3",-0.475480393853474,0.0118479178728646,"NS","MARV vs Mock 1 dpi"
"NR1H4",1.53411635760305,0.0118649098796802,"UP","MARV vs Mock 1 dpi"
"SCD",0.820093680280689,0.0120007405853905,"NS","MARV vs Mock 1 dpi"
"C8orf58",1.22400554204739,0.0121917440819565,"UP","MARV vs Mock 1 dpi"
"USP32",0.591460435416418,0.0121917440819565,"NS","MARV vs Mock 1 dpi"
"FLNB",0.926892499254082,0.0122213451355176,"NS","MARV vs Mock 1 dpi"
"CHAC2",-0.999166090245952,0.0124189449030832,"NS","MARV vs Mock 1 dpi"
"NNAT",1.31027245601755,0.0124189449030832,"UP","MARV vs Mock 1 dpi"
"HGH1",-0.882010818851649,0.0125811797559918,"NS","MARV vs Mock 1 dpi"
"PATJ",0.515930284664151,0.0127310681161413,"NS","MARV vs Mock 1 dpi"
"RRP9",-0.671890030388714,0.012857465146968,"NS","MARV vs Mock 1 dpi"
"SLC4A4",1.23154032105175,0.0131677866660361,"UP","MARV vs Mock 1 dpi"
"FAIM",-0.811213417402307,0.01327421564225,"NS","MARV vs Mock 1 dpi"
"SLIRP",-0.766884257480363,0.0133953666647998,"NS","MARV vs Mock 1 dpi"
"SIAH1",-0.521114322344769,0.0134614816466416,"NS","MARV vs Mock 1 dpi"
"GLYATL2",0.821667780061202,0.0136537495037944,"NS","MARV vs Mock 1 dpi"
"RALGPS2",0.472501334575065,0.0138031627521999,"NS","MARV vs Mock 1 dpi"
"LINC02001",-0.691631224996826,0.0138718885097135,"NS","MARV vs Mock 1 dpi"
"CYP20A1",-0.788160266686603,0.0140919865712621,"NS","MARV vs Mock 1 dpi"
"ITPR3",0.842754037205422,0.0142956520630044,"NS","MARV vs Mock 1 dpi"
"EIF3J",-0.594321074156538,0.0143581828687893,"NS","MARV vs Mock 1 dpi"
"HELZ",0.597738153096555,0.0144275140558225,"NS","MARV vs Mock 1 dpi"
"ITPA",-0.468867005470076,0.0144892632901962,"NS","MARV vs Mock 1 dpi"
"WDR4",-0.628639695216862,0.0145524408987599,"NS","MARV vs Mock 1 dpi"
"CASKIN1",1.37806112197134,0.0146292840830171,"UP","MARV vs Mock 1 dpi"
"ERBB3",0.525165722919721,0.0147062796862139,"NS","MARV vs Mock 1 dpi"
"FRMD3",1.47534320205703,0.0147384615440107,"UP","MARV vs Mock 1 dpi"
"ERVMER34.1",-0.705673393280106,0.0148115369495715,"NS","MARV vs Mock 1 dpi"
"COQ4",-0.47995618120049,0.0148251198184672,"NS","MARV vs Mock 1 dpi"
"TRNT1",-0.464416272374826,0.0148789753778422,"NS","MARV vs Mock 1 dpi"
"NOL3",1.11533362756743,0.0148789753778422,"UP","MARV vs Mock 1 dpi"
"MICAL2",0.636333067390478,0.0153337224212776,"NS","MARV vs Mock 1 dpi"
