"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","contrast"
"GO:0006911","phagocytosis, engulfment","3/596","34/12737",0.211527767050408,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0046329","negative regulation of JNK cascade","3/596","34/12737",0.211527767050408,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0050881","musculoskeletal movement","3/596","34/12737",0.211527767050408,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0055021","regulation of cardiac muscle tissue growth","3/596","34/12737",0.211527767050408,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1902003","regulation of amyloid-beta formation","3/596","34/12737",0.211527767050408,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1902904","negative regulation of supramolecular fiber organization","8/596","122/12737",0.21204336477286,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0140238","presynaptic endocytosis","5/596","68/12737",0.212202399492939,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0001822","kidney development","11/596","178/12737",0.212416416807044,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0045765","regulation of angiogenesis","13/596","216/12737",0.212638585050375,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0006801","superoxide metabolic process","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0022617","extracellular matrix disassembly","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0022898","regulation of transmembrane transporter activity","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0046847","filopodium assembly","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0048864","stem cell development","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0050772","positive regulation of axonogenesis","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0071346","cellular response to type II interferon","4/596","51/12737",0.21501908959763,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0045619","regulation of lymphocyte differentiation","9/596","141/12737",0.215034650778784,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0045927","positive regulation of growth","10/596","160/12737",0.216744466079104,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0007584","response to nutrient","8/596","123/12737",0.218279115418332,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0002705","positive regulation of leukocyte mediated immunity","5/596","69/12737",0.220719726019214,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0006942","regulation of striated muscle contraction","5/596","69/12737",0.220719726019214,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1903037","regulation of leukocyte cell-cell adhesion","14/596","237/12737",0.22097754981906,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0042129","regulation of T cell proliferation","6/596","87/12737",0.221905497451136,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0048812","neuron projection morphogenesis","24/596","433/12737",0.22230182177465,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0002701","negative regulation of production of molecular mediator of immune response","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0003081","regulation of systemic arterial blood pressure by renin-angiotensin","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0007608","sensory perception of smell","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0009948","anterior/posterior axis specification","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0010460","positive regulation of heart rate","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0010640","regulation of platelet-derived growth factor receptor signaling pathway","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0032252","secretory granule localization","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0032253","dense core granule localization","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0036296","response to increased oxygen levels","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0036480","neuron intrinsic apoptotic signaling pathway in response to oxidative stress","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0045671","negative regulation of osteoclast differentiation","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0046640","regulation of alpha-beta T cell proliferation","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0060339","negative regulation of type I interferon-mediated signaling pathway","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0150118","negative regulation of cell-substrate junction organization","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1900242","regulation of synaptic vesicle endocytosis","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1901381","positive regulation of potassium ion transmembrane transport","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1902074","response to salt","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:1902992","negative regulation of amyloid precursor protein catabolic process","2/596","19/12737",0.222411970328299,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0006887","exocytosis","16/596","276/12737",0.222413966883797,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0032496","response to lipopolysaccharide","12/596","199/12737",0.222568220108365,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0003254","regulation of membrane depolarization","3/596","35/12737",0.223940099198614,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0043370","regulation of CD4-positive, alpha-beta T cell differentiation","3/596","35/12737",0.223940099198614,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0050879","multicellular organismal movement","3/596","35/12737",0.223940099198614,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:2000027","regulation of animal organ morphogenesis","3/596","35/12737",0.223940099198614,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0045580","regulation of T cell differentiation","8/596","124/12737",0.224582941683675,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0032233","positive regulation of actin filament bundle assembly","4/596","52/12737",0.225037138816037,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0032729","positive regulation of type II interferon production","4/596","52/12737",0.225037138816037,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0051648","vesicle localization","12/596","200/12737",0.22752325072114,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0071772","response to BMP","7/596","106/12737",0.227642609549317,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0071773","cellular response to BMP stimulus","7/596","106/12737",0.227642609549317,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0009123","nucleoside monophosphate metabolic process","5/596","70/12737",0.229339384176157,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0009566","fertilization","5/596","70/12737",0.229339384176157,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0060541","respiratory system development","5/596","70/12737",0.229339384176157,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0002703","regulation of leukocyte mediated immunity","8/596","125/12737",0.230952462307326,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0070663","regulation of leukocyte proliferation","8/596","125/12737",0.230952462307326,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0009743","response to carbohydrate","10/596","163/12737",0.233321568056246,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0051153","regulation of striated muscle cell differentiation","4/596","53/12737",0.235172378088367,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0072348","sulfur compound transport","4/596","53/12737",0.235172378088367,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0003229","ventricular cardiac muscle tissue development","3/596","36/12737",0.236490097407897,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0034381","plasma lipoprotein particle clearance","3/596","36/12737",0.236490097407897,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0050856","regulation of T cell receptor signaling pathway","3/596","36/12737",0.236490097407897,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0055008","cardiac muscle tissue morphogenesis","3/596","36/12737",0.236490097407897,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0060391","positive regulation of SMAD protein signal transduction","3/596","36/12737",0.236490097407897,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0030038","contractile actin filament bundle assembly","6/596","89/12737",0.237259111474755,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0043149","stress fiber assembly","6/596","89/12737",0.237259111474755,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0060041","retina development in camera-type eye","5/596","71/12737",0.238054907730833,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0003230","cardiac atrium development","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0030262","apoptotic nuclear changes","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0035902","response to immobilization stress","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0038095","Fc-epsilon receptor signaling pathway","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0039535","regulation of RIG-I signaling pathway","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0042430","indole-containing compound metabolic process","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0044321","response to leptin","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0050974","detection of mechanical stimulus involved in sensory perception","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0060043","regulation of cardiac muscle cell proliferation","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0061384","heart trabecula morphogenesis","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0061436","establishment of skin barrier","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0099500","vesicle fusion to plasma membrane","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:2000319","regulation of T-helper 17 cell differentiation","2/596","20/12737",0.239981506186287,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0008277","regulation of G protein-coupled receptor signaling pathway","7/596","108/12737",0.241642724054665,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0110053","regulation of actin filament organization","12/596","203/12737",0.242648807761626,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0046651","lymphocyte proliferation","8/596","127/12737",0.243878874933992,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0045471","response to ethanol","6/596","90/12737",0.245055049140569,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0006576","biogenic amine metabolic process","4/596","54/12737",0.24541430745433,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0071230","cellular response to amino acid stimulus","4/596","54/12737",0.24541430745433,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0051048","negative regulation of secretion","7/596","109/12737",0.248744028448963,1,1,"EBOV vs Mock 3 dpi DOWN"
"GO:0010656","negative regulation of muscle cell apoptotic process","3/596","37/12737",0.249157913326623,1,1,"EBOV vs Mock 3 dpi DOWN"
