"gene_symbol","log2FoldChange","padj","direction","contrast"
"AL133367.1",1.49652529761507,0.000461866166102258,"UP","EBOV vs Mock 1 dpi"
"APIP",-0.521264273377845,0.000508951012606326,"NS","EBOV vs Mock 1 dpi"
"MUC1",2.79140595880276,0.000510156795022116,"UP","EBOV vs Mock 1 dpi"
"PNO1",-0.69036089664447,0.000510156795022116,"NS","EBOV vs Mock 1 dpi"
"FRAT2",-0.639885310429463,0.000510156795022116,"NS","EBOV vs Mock 1 dpi"
"EVA1B",1.97457016441013,0.000519462859660976,"UP","EBOV vs Mock 1 dpi"
"TFB2M",-0.680415229809433,0.000519462859660976,"NS","EBOV vs Mock 1 dpi"
"POP7",-0.800905376744535,0.000519462859660976,"NS","EBOV vs Mock 1 dpi"
"FAM13A",1.64755181248538,0.000523309367457004,"UP","EBOV vs Mock 1 dpi"
"FABP5",-0.908805384119547,0.000523309367457004,"NS","EBOV vs Mock 1 dpi"
"KIAA1217",0.830168215979736,0.000539542349447962,"NS","EBOV vs Mock 1 dpi"
"TMEM176B",1.87850584821291,0.000561784352104445,"UP","EBOV vs Mock 1 dpi"
"EIF2S1",-0.589882349956117,0.000568221142022275,"NS","EBOV vs Mock 1 dpi"
"PAK1IP1",-0.668162734527299,0.000631424811413789,"NS","EBOV vs Mock 1 dpi"
"NDUFS6",-0.748252229449243,0.000666768956629329,"NS","EBOV vs Mock 1 dpi"
"ABCA2",1.03655217888182,0.000666768956629329,"UP","EBOV vs Mock 1 dpi"
"POLR3K",-0.895206729720955,0.000666768956629329,"NS","EBOV vs Mock 1 dpi"
"APOBEC3C",1.5178430872413,0.000672381759150063,"UP","EBOV vs Mock 1 dpi"
"ERVH48.1",1.72116987310865,0.000688452341366354,"UP","EBOV vs Mock 1 dpi"
"PNCK",3.29583842633376,0.000697633290544185,"UP","EBOV vs Mock 1 dpi"
"LYAR",-0.788264798006595,0.000723346889148109,"NS","EBOV vs Mock 1 dpi"
"DCUN1D5",-0.703973891809786,0.000723346889148109,"NS","EBOV vs Mock 1 dpi"
"MON1A",-0.840298224260513,0.000732543026655822,"NS","EBOV vs Mock 1 dpi"
"CRELD2",-0.736112406123452,0.000744480652788419,"NS","EBOV vs Mock 1 dpi"
"AHDC1",0.916433079270694,0.000745247438385642,"NS","EBOV vs Mock 1 dpi"
"DNMBP",0.596723762921003,0.000745247438385642,"NS","EBOV vs Mock 1 dpi"
"RPP38",-0.599741983823134,0.000780560148754111,"NS","EBOV vs Mock 1 dpi"
"ICMT",-0.693022021499039,0.000784802588033971,"NS","EBOV vs Mock 1 dpi"
"EGFR",0.762959140356256,0.000812773861203841,"NS","EBOV vs Mock 1 dpi"
"SBDSP1",-0.644447648687668,0.000812773861203841,"NS","EBOV vs Mock 1 dpi"
"WDR4",-0.784404707561204,0.000812773861203841,"NS","EBOV vs Mock 1 dpi"
"FAM149A",1.25745508594828,0.000823173894177312,"UP","EBOV vs Mock 1 dpi"
"WDR61",-0.397454574312268,0.000825484993702483,"NS","EBOV vs Mock 1 dpi"
"LAMB3",2.03135774408291,0.000864520135443544,"UP","EBOV vs Mock 1 dpi"
"DUOX2",3.35334973155255,0.000903224097782461,"UP","EBOV vs Mock 1 dpi"
"ACOT7",-0.771912939109327,0.000909224967457206,"NS","EBOV vs Mock 1 dpi"
"RNASEH1",-0.651192445926178,0.000931149996832769,"NS","EBOV vs Mock 1 dpi"
"GRWD1",-0.628207406356132,0.00100432615820499,"NS","EBOV vs Mock 1 dpi"
"TRMT6",-0.776585836211934,0.001006087089427,"NS","EBOV vs Mock 1 dpi"
"C8orf58",1.4719742094056,0.00101424137926121,"UP","EBOV vs Mock 1 dpi"
"LINC02210",0.808503764704117,0.00101424137926121,"NS","EBOV vs Mock 1 dpi"
"SPAG4",2.15593541798244,0.00101424137926121,"UP","EBOV vs Mock 1 dpi"
"KDM4B",0.906293168087714,0.00101424137926121,"NS","EBOV vs Mock 1 dpi"
"C3",3.22950270771157,0.00101424137926121,"UP","EBOV vs Mock 1 dpi"
"DANCR",-1.02749435467301,0.0010222234290137,"DOWN","EBOV vs Mock 1 dpi"
"MEF2D",0.794317449024111,0.00103684597054318,"NS","EBOV vs Mock 1 dpi"
"ZNF846",0.973978209925044,0.00112928438626845,"NS","EBOV vs Mock 1 dpi"
"DUOXA2",3.67053776934831,0.00114834337847109,"UP","EBOV vs Mock 1 dpi"
"MED23",0.662867642762954,0.00116357177589895,"NS","EBOV vs Mock 1 dpi"
"CASKIN1",1.67028191880079,0.00117679460285521,"UP","EBOV vs Mock 1 dpi"
"PLAGL1",0.833591461593041,0.00118562933403702,"NS","EBOV vs Mock 1 dpi"
"FGF20",3.14945926143625,0.00121161686019687,"UP","EBOV vs Mock 1 dpi"
"CAPN12",1.39205039531176,0.00122856236678975,"UP","EBOV vs Mock 1 dpi"
"HERC3",1.32559656585317,0.0012607567367536,"UP","EBOV vs Mock 1 dpi"
"LIN52",-0.681433798188813,0.0012607567367536,"NS","EBOV vs Mock 1 dpi"
"SLC25A32",-0.648927404754084,0.00135645788545184,"NS","EBOV vs Mock 1 dpi"
"EHBP1L1",1.18827974142103,0.00135645788545184,"UP","EBOV vs Mock 1 dpi"
"LINC02001",-0.826901648568238,0.00145518240820209,"NS","EBOV vs Mock 1 dpi"
"GABRA2",2.01046124558572,0.00150365000107011,"UP","EBOV vs Mock 1 dpi"
"PINX1",-0.732379564407263,0.00161843737533336,"NS","EBOV vs Mock 1 dpi"
"OBSCN",1.3405112269736,0.00164963176632733,"UP","EBOV vs Mock 1 dpi"
"DHRS9",2.15577850240271,0.00166316162363232,"UP","EBOV vs Mock 1 dpi"
"GPA33",2.09518560675205,0.00169683463543446,"UP","EBOV vs Mock 1 dpi"
"BAG2",-0.694081731376401,0.00169683463543446,"NS","EBOV vs Mock 1 dpi"
"PBXIP1",0.991160012614863,0.00178764730500265,"NS","EBOV vs Mock 1 dpi"
"TRNT1",-0.551468324213311,0.00179847663099491,"NS","EBOV vs Mock 1 dpi"
"IGFBP5",3.31390165167321,0.00180693646379903,"UP","EBOV vs Mock 1 dpi"
"MVP",1.38018319444888,0.00180693646379903,"UP","EBOV vs Mock 1 dpi"
"ADSL",-0.550491479239812,0.00182378922425948,"NS","EBOV vs Mock 1 dpi"
"TCF7",-0.528045348621841,0.00185586920035307,"NS","EBOV vs Mock 1 dpi"
"UNC5CL",1.33938156183087,0.00188778442870542,"UP","EBOV vs Mock 1 dpi"
"NDUFAF6",-0.680578236224906,0.00188778442870542,"NS","EBOV vs Mock 1 dpi"
"SLC25A33",-0.711917207082268,0.00191224617196063,"NS","EBOV vs Mock 1 dpi"
"PGM1",1.50639191542369,0.00191224617196063,"UP","EBOV vs Mock 1 dpi"
"CCDC183.AS1",1.62381371450784,0.00191224617196063,"UP","EBOV vs Mock 1 dpi"
"GEMIN2",-0.549606906449134,0.0019715573626888,"NS","EBOV vs Mock 1 dpi"
"PPP1R3C",2.45817873198874,0.00197927108905423,"UP","EBOV vs Mock 1 dpi"
"ACSL5",1.29702093385696,0.00197927108905423,"UP","EBOV vs Mock 1 dpi"
"EIF5A",-0.66828526767594,0.00200752736763585,"NS","EBOV vs Mock 1 dpi"
"OPTN",1.65985292469023,0.00200953148133672,"UP","EBOV vs Mock 1 dpi"
"UBIAD1",-0.656411822767857,0.00204150273234357,"NS","EBOV vs Mock 1 dpi"
"KLF15",-1.11104831497038,0.00204150273234357,"DOWN","EBOV vs Mock 1 dpi"
"ASGR1",1.11718727381821,0.00204150273234357,"UP","EBOV vs Mock 1 dpi"
"SRSF2",-0.549916499735529,0.00204150273234357,"NS","EBOV vs Mock 1 dpi"
"TBC1D8B",1.08322046261412,0.00204487181748859,"UP","EBOV vs Mock 1 dpi"
"RAB3IP",-0.421473913924715,0.00205395591628382,"NS","EBOV vs Mock 1 dpi"
"MYO7B",1.75894129290512,0.00207697397610797,"UP","EBOV vs Mock 1 dpi"
"DGKA",1.2756811543824,0.00207697397610797,"UP","EBOV vs Mock 1 dpi"
"MAPK8IP3",0.623448604064267,0.00207697397610797,"NS","EBOV vs Mock 1 dpi"
"GGCT",-0.521932701619597,0.00217471816393406,"NS","EBOV vs Mock 1 dpi"
"ABR",0.590205277200161,0.00217630930896405,"NS","EBOV vs Mock 1 dpi"
"PIAS2",0.857283860436298,0.00217630930896405,"NS","EBOV vs Mock 1 dpi"
"AOC1",3.5197268137379,0.00217918124602293,"UP","EBOV vs Mock 1 dpi"
"C17orf78",2.28798502201735,0.00217918124602293,"UP","EBOV vs Mock 1 dpi"
"MPV17L2",-1.02528495960125,0.00217918124602293,"DOWN","EBOV vs Mock 1 dpi"
"HSD17B14",1.30751075360469,0.00217918124602293,"UP","EBOV vs Mock 1 dpi"
"ATAD3A",-0.765560642504729,0.00222114032312945,"NS","EBOV vs Mock 1 dpi"
"BCCIP",-0.519592141239771,0.00222114032312945,"NS","EBOV vs Mock 1 dpi"
"LAMA5",0.826681622113424,0.00226805771832251,"NS","EBOV vs Mock 1 dpi"
"APOA4",3.66224218969684,0.00235030459342347,"UP","EBOV vs Mock 1 dpi"
"ZNF654",0.661074449981634,0.00235960922514079,"NS","EBOV vs Mock 1 dpi"
"SDHAF3",-0.764760553287979,0.00235960922514079,"NS","EBOV vs Mock 1 dpi"
"SPRTN",-0.658772331294345,0.00236920165778946,"NS","EBOV vs Mock 1 dpi"
"VIM",1.94425558876301,0.00237577276258441,"UP","EBOV vs Mock 1 dpi"
"EIF3J",-0.679494343366171,0.00258747049657804,"NS","EBOV vs Mock 1 dpi"
"ALYREF",-0.75460940227876,0.00261578261392559,"NS","EBOV vs Mock 1 dpi"
"URB2",-0.64418398659152,0.0026424680142946,"NS","EBOV vs Mock 1 dpi"
"ABCC3",1.16673251230987,0.0026424680142946,"UP","EBOV vs Mock 1 dpi"
"MOCS3",-0.659619600269944,0.0026424680142946,"NS","EBOV vs Mock 1 dpi"
"COMTD1",-0.707344046542407,0.0026571837571046,"NS","EBOV vs Mock 1 dpi"
"LTV1",-0.624736441043075,0.00270056523823391,"NS","EBOV vs Mock 1 dpi"
"PPFIBP2",0.526716993081932,0.00270056523823391,"NS","EBOV vs Mock 1 dpi"
"COL17A1",1.94583924368607,0.00270977974376643,"UP","EBOV vs Mock 1 dpi"
"ANKRD54",-0.52040967007996,0.00270977974376643,"NS","EBOV vs Mock 1 dpi"
"TMEM33",-0.604548952513043,0.00286288763131155,"NS","EBOV vs Mock 1 dpi"
"MYO18A",0.741507434510357,0.00287521084125281,"NS","EBOV vs Mock 1 dpi"
"AC103702.2",1.51487512390431,0.00295969608533808,"UP","EBOV vs Mock 1 dpi"
"ORC5",-0.463027907025499,0.00296834622289139,"NS","EBOV vs Mock 1 dpi"
"PFKFB4",1.76903230986382,0.00300404151028967,"UP","EBOV vs Mock 1 dpi"
"GSE1",0.663672251226256,0.00301531810672974,"NS","EBOV vs Mock 1 dpi"
"STRA6",2.19830419858855,0.00304020602439565,"UP","EBOV vs Mock 1 dpi"
"HK1",1.96185579922072,0.00304931917663667,"UP","EBOV vs Mock 1 dpi"
"IGF1R",0.513766624617825,0.00307141724623329,"NS","EBOV vs Mock 1 dpi"
"TPPP3",2.92751949199605,0.00307325959426447,"UP","EBOV vs Mock 1 dpi"
"SESN3",0.710781716713171,0.00315098193487414,"NS","EBOV vs Mock 1 dpi"
"TIMM44",-0.574973338959046,0.00317621060696172,"NS","EBOV vs Mock 1 dpi"
"GFM1",-0.618129844811564,0.00319335606756851,"NS","EBOV vs Mock 1 dpi"
"QRSL1",-0.523865951763185,0.00320976455775507,"NS","EBOV vs Mock 1 dpi"
"CCND1",0.82756913854714,0.00320976455775507,"NS","EBOV vs Mock 1 dpi"
"CHRNB1",1.13882643110846,0.00320976455775507,"UP","EBOV vs Mock 1 dpi"
"KIFC2",1.36117139538333,0.00329390805429668,"UP","EBOV vs Mock 1 dpi"
"SORBS1",1.21620873872123,0.00329390805429668,"UP","EBOV vs Mock 1 dpi"
"ILF3.AS1",-0.751296189514092,0.00329390805429668,"NS","EBOV vs Mock 1 dpi"
"ZNHIT2",-0.834517796042265,0.00340986746470579,"NS","EBOV vs Mock 1 dpi"
"ZNF160",1.024359172199,0.00340986746470579,"UP","EBOV vs Mock 1 dpi"
"CDKN3",-0.864311794274145,0.00344870333143437,"NS","EBOV vs Mock 1 dpi"
"GON7",-0.712892751845495,0.00345806946194473,"NS","EBOV vs Mock 1 dpi"
"SLC40A1",1.09297338755161,0.00349340200569972,"UP","EBOV vs Mock 1 dpi"
"FOS",1.79660811858332,0.00349340200569972,"UP","EBOV vs Mock 1 dpi"
"SQOR",0.887082448315988,0.00349340200569972,"NS","EBOV vs Mock 1 dpi"
"ERBB3",0.586100739500798,0.00349909837637759,"NS","EBOV vs Mock 1 dpi"
"ACSS2",0.891320052430564,0.00358426793131434,"NS","EBOV vs Mock 1 dpi"
"ENOPH1",-0.458271809585084,0.0035921715267115,"NS","EBOV vs Mock 1 dpi"
"C1orf174",-0.433724537531753,0.00359557210841433,"NS","EBOV vs Mock 1 dpi"
"C2orf27A",1.45416388225147,0.0036822554356216,"UP","EBOV vs Mock 1 dpi"
"INHA",2.22947760840683,0.00371400676875301,"UP","EBOV vs Mock 1 dpi"
"EMC8",-0.655260460080674,0.00371400676875301,"NS","EBOV vs Mock 1 dpi"
"PPP2CA",-0.476149188333596,0.00373436667473269,"NS","EBOV vs Mock 1 dpi"
"DDX28",-0.718524039000416,0.00380542040010159,"NS","EBOV vs Mock 1 dpi"
"CCDC51",-0.513899071319841,0.00381421770251904,"NS","EBOV vs Mock 1 dpi"
"TTC13",-0.466514581889854,0.00382294297013251,"NS","EBOV vs Mock 1 dpi"
"PIGW",-0.849316209787516,0.00382294297013251,"NS","EBOV vs Mock 1 dpi"
"MAB21L3",2.16646907658135,0.0039947059259633,"UP","EBOV vs Mock 1 dpi"
"OXNAD1",-0.55055153816349,0.00403250768776918,"NS","EBOV vs Mock 1 dpi"
"PRR22",-0.775329659825343,0.00418849591294619,"NS","EBOV vs Mock 1 dpi"
"AGAP1",0.490470167455067,0.0041958991566399,"NS","EBOV vs Mock 1 dpi"
"POP5",-0.579673933798218,0.00421480138779887,"NS","EBOV vs Mock 1 dpi"
"CTU2",-0.814260464894138,0.00424220968104082,"NS","EBOV vs Mock 1 dpi"
"THBS3",0.724208553808234,0.00428434094496686,"NS","EBOV vs Mock 1 dpi"
"PDCD2L",-0.83233564933531,0.00430132134726476,"NS","EBOV vs Mock 1 dpi"
"ZNF436",1.20154650602187,0.00441653778835436,"UP","EBOV vs Mock 1 dpi"
"COQ2",-0.694056789815957,0.00444267971671978,"NS","EBOV vs Mock 1 dpi"
"ZSCAN30",0.784990080962043,0.00447110555269438,"NS","EBOV vs Mock 1 dpi"
"THNSL2",0.809592462334275,0.00454314560389468,"NS","EBOV vs Mock 1 dpi"
"CDK19",0.759225676160323,0.00458810943813458,"NS","EBOV vs Mock 1 dpi"
"TEP1",0.710576965727093,0.00461463930600536,"NS","EBOV vs Mock 1 dpi"
"SPICE1",0.440067736356142,0.00462441557451643,"NS","EBOV vs Mock 1 dpi"
"FADS6",1.72959778422522,0.00462441557451643,"UP","EBOV vs Mock 1 dpi"
"PPIH",-0.469804185602613,0.00462681763233811,"NS","EBOV vs Mock 1 dpi"
"NFATC4",2.56507520167873,0.00462681763233811,"UP","EBOV vs Mock 1 dpi"
"ATAD3B",-0.78740269649017,0.00466660177061501,"NS","EBOV vs Mock 1 dpi"
"ABCF2.1",-0.724995435512099,0.00476413503249464,"NS","EBOV vs Mock 1 dpi"
"SLC10A2",1.52798961529438,0.00476925872706797,"UP","EBOV vs Mock 1 dpi"
"NSUN5",-0.61236975617297,0.00478064236770989,"NS","EBOV vs Mock 1 dpi"
"PHGR1",1.08704680973638,0.0048197614528334,"UP","EBOV vs Mock 1 dpi"
"YARS2",-0.579593350506912,0.00490929793976971,"NS","EBOV vs Mock 1 dpi"
"LETM1",-0.610620488864863,0.005216423917498,"NS","EBOV vs Mock 1 dpi"
"VWA5A",1.65909249358647,0.005216423917498,"UP","EBOV vs Mock 1 dpi"
"GTF3A",-0.595441446917865,0.005216423917498,"NS","EBOV vs Mock 1 dpi"
"AGO4",0.887274128101789,0.00521899864877913,"NS","EBOV vs Mock 1 dpi"
"CTPS1",-0.690633436679045,0.00522941422994694,"NS","EBOV vs Mock 1 dpi"
"LCN9",1.52707959502072,0.00522941422994694,"UP","EBOV vs Mock 1 dpi"
"DLG4",1.08723769702931,0.00522941422994694,"UP","EBOV vs Mock 1 dpi"
"PSMA5",-0.517257159220099,0.00523373853734229,"NS","EBOV vs Mock 1 dpi"
"CXCR4",1.33455239476396,0.00523373853734229,"UP","EBOV vs Mock 1 dpi"
"ERVMER34.1",-0.761419193721328,0.00523373853734229,"NS","EBOV vs Mock 1 dpi"
"BOP1",-0.661045143844188,0.00523373853734229,"NS","EBOV vs Mock 1 dpi"
"PUS1",-0.670026106207003,0.00523373853734229,"NS","EBOV vs Mock 1 dpi"
"POLDIP2",-0.58389386661781,0.00523373853734229,"NS","EBOV vs Mock 1 dpi"
"KPNA2",-0.677239603207885,0.00523373853734229,"NS","EBOV vs Mock 1 dpi"
"FER1L4",2.3537448986467,0.00523373853734229,"UP","EBOV vs Mock 1 dpi"
"TIMM17A",-0.630073269685294,0.00538623565381052,"NS","EBOV vs Mock 1 dpi"
"ST7",-0.446056315417625,0.00538623565381052,"NS","EBOV vs Mock 1 dpi"
"NEDD9",0.985960769601612,0.00548799818267148,"NS","EBOV vs Mock 1 dpi"
"BYSL",-0.590046945414977,0.00551819910464569,"NS","EBOV vs Mock 1 dpi"
"SEH1L",-0.472991738990988,0.00554926796965783,"NS","EBOV vs Mock 1 dpi"
"CENPA",-0.992611299046012,0.0055554974449602,"NS","EBOV vs Mock 1 dpi"
"VPS33A",-0.44238978337168,0.0055554974449602,"NS","EBOV vs Mock 1 dpi"
"C15orf61",-0.825574355071283,0.0055554974449602,"NS","EBOV vs Mock 1 dpi"
"CCDC68",0.757248069257452,0.0055554974449602,"NS","EBOV vs Mock 1 dpi"
"LINC01671",1.96767143570153,0.0055554974449602,"UP","EBOV vs Mock 1 dpi"
"MRPL3",-0.563779353156127,0.00565891437786781,"NS","EBOV vs Mock 1 dpi"
"MAPKAP1",-0.455105954539322,0.00566633578214875,"NS","EBOV vs Mock 1 dpi"
"PKD1",0.82984380493197,0.00570026463700935,"NS","EBOV vs Mock 1 dpi"
"POLR2F",-0.668918763037603,0.00570026463700935,"NS","EBOV vs Mock 1 dpi"
"PGAM5",-0.779237503174411,0.00572420574648156,"NS","EBOV vs Mock 1 dpi"
"KLHL3",1.19544839614181,0.00573695938764155,"UP","EBOV vs Mock 1 dpi"
"NTMT1",-0.596570102370236,0.00574190785528125,"NS","EBOV vs Mock 1 dpi"
"PGP",-0.736298622587291,0.00574190785528125,"NS","EBOV vs Mock 1 dpi"
"mars-02",-0.743731447431367,0.00581496692541534,"NS","EBOV vs Mock 1 dpi"
"BSDC1",0.348390909015243,0.00582923165671354,"NS","EBOV vs Mock 1 dpi"
"PSPC1",-0.542062325639014,0.00582923165671354,"NS","EBOV vs Mock 1 dpi"
"NAGS",1.82518571557846,0.0058317300438158,"UP","EBOV vs Mock 1 dpi"
"RANBP1",-0.706684095962646,0.00583398917058816,"NS","EBOV vs Mock 1 dpi"
"RASGEF1B",-0.622953428973594,0.00586304888248556,"NS","EBOV vs Mock 1 dpi"
"AUNIP",-0.632696666083306,0.00588662846055878,"NS","EBOV vs Mock 1 dpi"
